17,17-19,17-19,Young,*
18,17-19,17-19,Young,*
19,17-19,17-19,Young,*
20,20-24,20-29,Young,*
21,20-24,20-29,Young,*
22,20-24,20-29,Young,*
23,20-24,20-29,Young,*
24,20-24,20-29,Young,*
25,25-29,20-29,Young,*
26,25-29,20-29,Young,*
27,25-29,20-29,Young,*
28,25-29,20-29,Young,*
29,25-29,20-29,Young,*
30,30-34,30-39,Adult,*
31,30-34,30-39,Adult,*
32,30-34,30-39,Adult,*
33,30-34,30-39,Adult,*
34,30-34,30-39,Adult,*
35,35-39,30-39,Adult,*
36,35-39,30-39,Adult,*
37,35-39,30-39,Adult,*
38,35-39,30-39,Adult,*
39,35-39,30-39,Adult,*
40,40-44,40-49,Adult,*
41,40-44,40-49,Adult,*
42,40-44,40-49,Adult,*
43,40-44,40-49,Adult,*
44,40-44,40-49,Adult,*
45,45-49,40-49,Adult,*
46,45-49,40-49,Adult,*
47,45-49,40-49,Adult,*
48,45-49,40-49,Adult,*
49,45-49,40-49,Adult,*
50,50-54,50-59,Adult,*
51,50-54,50-59,Adult,*
52,50-54,50-59,Adult,*
53,50-54,50-59,Adult,*
54,50-54,50-59,Adult,*
55,55-59,50-59,Adult,*
56,55-59,50-59,Adult,*
57,55-59,50-59,Adult,*
58,55-59,50-59,Adult,*
59,55-59,50-59,Adult,*
60,60-64,60-69,Senior,*
61,60-64,60-69,Senior,*
62,60-64,60-69,Senior,*
63,60-64,60-69,Senior,*
64,60-64,60-69,Senior,*
65,65-69,60-69,Senior,*
66,65-69,60-69,Senior,*
67,65-69,60-69,Senior,*
68,65-69,60-69,Senior,*
69,65-69,60-69,Senior,*
70,70-74,70-79,Senior,*
71,70-74,70-79,Senior,*
72,70-74,70-79,Senior,*
73,70-74,70-79,Senior,*
74,70-74,70-79,Senior,*
75,75-79,70-79,Senior,*
76,75-79,70-79,Senior,*
77,75-79,70-79,Senior,*
78,75-79,70-79,Senior,*
79,75-79,70-79,Senior,*
80,80-90,80-90,Senior,*
81,80-90,80-90,Senior,*
82,80-90,80-90,Senior,*
83,80-90,80-90,Senior,*
84,80-90,80-90,Senior,*
85,80-90,80-90,Senior,*
86,80-90,80-90,Senior,*
87,80-90,80-90,Senior,*
88,80-90,80-90,Senior,*
89,80-90,80-90,Senior,*
90,80-90,80-90,Senior,*
