United-States,United-States,United-States,*
Outlying-US(Guam-USVI-etc),United-States,United-States,*
Canada,Americas,Foreign,*
Mexico,Americas,Foreign,*
Cuba,Americas,Foreign,*
Jamaica,Americas,Foreign,*
Dominican-Republic,Americas,Foreign,*
Haiti,Americas,Foreign,*
Trinadad&Tobago,Americas,Foreign,*
Puerto-Rico,Americas,Foreign,*
El-Salvador,Americas,Foreign,*
Guatemala,Americas,Foreign,*
Honduras,Americas,Foreign,*
Nicaragua,Americas,Foreign,*
Columbia,Americas,Foreign,*
Ecuador,Americas,Foreign,*
Peru,Americas,Foreign,*
England,Europe,Foreign,*
Germany,Europe,Foreign,*
Italy,Europe,Foreign,*
Poland,Europe,Foreign,*
Portugal,Europe,Foreign,*
Greece,Europe,Foreign,*
France,Europe,Foreign,*
Ireland,Europe,Foreign,*
Scotland,Europe,Foreign,*
Hungary,Europe,Foreign,*
Holand-Netherlands,Europe,Foreign,*
Yugoslavia,Europe,Foreign,*
China,Asia,Foreign,*
Japan,Asia,Foreign,*
India,Asia,Foreign,*
Taiwan,Asia,Foreign,*
Hong,Asia,Foreign,*
Vietnam,Asia,Foreign,*
Philippines,Asia,Foreign,*
Thailand,Asia,Foreign,*
Cambodia,Asia,Foreign,*
Laos,Asia,Foreign,*
South,Asia,Foreign,*
Iran,Asia,Foreign,*
Unknown,Unknown,Unknown,*
