dataset,variant,strategy,k,model,n_rows,n_features,accuracy,f1_macro
adult,baseline,NA,NA,LogisticRegression,48842,12,0.8749104309550619,0.815388934505783
adult,baseline,NA,NA,RandomForest,48842,12,0.8535162247927116,0.7871818341597367
adult,anonymized,public,2,LogisticRegression,48842,12,0.8674378134916573,0.8029695604495024
adult,anonymized,public,2,RandomForest,48842,12,0.8511618384686253,0.7850068263208401
adult,anonymized,public,5,LogisticRegression,48842,12,0.8674378134916573,0.7999519600892391
adult,anonymized,public,5,RandomForest,48842,12,0.8545398710205753,0.785435834579197
adult,anonymized,public,10,LogisticRegression,48842,12,0.8632408639574163,0.7953373605415142
adult,anonymized,public,10,RandomForest,48842,12,0.8563824342307299,0.7867602581715085
adult,anonymized,public,20,LogisticRegression,48842,12,0.8686661889650936,0.8040434662474838
adult,anonymized,public,20,RandomForest,48842,12,0.8553587880028662,0.7852403740529876
adult,anonymized,all,2,LogisticRegression,46711,12,0.8387027721288666,0.7683051148206799
adult,anonymized,all,2,RandomForest,46711,12,0.8350636840415284,0.7489477254693706
adult,anonymized,all,5,LogisticRegression,46560,12,0.8238831615120275,0.7464525019811719
adult,anonymized,all,5,RandomForest,46560,12,0.8265678694158075,0.7557956373636143
adult,anonymized,all,10,LogisticRegression,46514,12,0.8169407717940449,0.7559734824976343
adult,anonymized,all,10,RandomForest,46514,12,0.8164033107599699,0.7504343734254435
adult,anonymized,all,20,LogisticRegression,46475,12,0.8169983862291554,0.7557699687517132
adult,anonymized,all,20,RandomForest,46475,12,0.8195804195804196,0.7600417948703146
bank,baseline,NA,NA,LogisticRegression,45211,8,0.8835563419219286,0.504248051138111
bank,baseline,NA,NA,RandomForest,45211,8,0.8916288842198385,0.6176292316842031
bank,anonymized,public,2,LogisticRegression,45211,8,0.8828928452947031,0.49894622936584937
bank,anonymized,public,2,RandomForest,45211,8,0.8941722879575362,0.6437026447021044
bank,anonymized,public,5,LogisticRegression,45211,8,0.883777507464337,0.5051896502812484
bank,anonymized,public,5,RandomForest,45211,8,0.8905230565077961,0.6392803957025848
bank,anonymized,public,10,LogisticRegression,45211,8,0.8847727524051753,0.5082114666382745
bank,anonymized,public,10,RandomForest,45211,8,0.8901913081941834,0.6397203783351707
bank,anonymized,public,20,LogisticRegression,45211,8,0.8832245936083158,0.5040608251277576
bank,anonymized,public,20,RandomForest,45211,8,0.8887537321685282,0.6293886279432968
bank,anonymized,all,2,LogisticRegression,43692,8,0.8815653964984552,0.47423531485927345
bank,anonymized,all,2,RandomForest,43692,8,0.8780180798718389,0.5094248946891481
bank,anonymized,all,5,LogisticRegression,43706,8,0.8829787234042553,0.483114833489126
bank,anonymized,all,5,RandomForest,43706,8,0.8822923816060398,0.4909255560971411
bank,anonymized,all,10,LogisticRegression,42989,8,0.8829960455919982,0.4709039592949781
bank,anonymized,all,10,RandomForest,42989,8,0.8828797394742963,0.4795463025228117
bank,anonymized,all,20,LogisticRegression,43027,8,0.882872414594469,0.47086517347386914
bank,anonymized,all,20,RandomForest,43027,8,0.8826400185916802,0.47274488380449914
german,baseline,NA,NA,LogisticRegression,1000,20,0.69,0.6236036911121904
german,baseline,NA,NA,RandomForest,1000,20,0.745,0.6254269031618376
german,anonymized,public,2,LogisticRegression,1000,20,0.715,0.6363752352397053
german,anonymized,public,2,RandomForest,1000,20,0.735,0.597126677055224
german,anonymized,public,5,LogisticRegression,1000,20,0.785,0.7223567393058918
german,anonymized,public,5,RandomForest,1000,20,0.745,0.5898838004101161
german,anonymized,public,10,LogisticRegression,1000,20,0.72,0.6489028213166144
german,anonymized,public,10,RandomForest,1000,20,0.72,0.5852466301288698
german,anonymized,public,20,LogisticRegression,1000,20,0.735,0.6577885391444713
german,anonymized,public,20,RandomForest,1000,20,0.73,0.593128390596745
german,anonymized,all,2,LogisticRegression,952,20,0.6858638743455497,0.45051783659378597
german,anonymized,all,2,RandomForest,952,20,0.680628272251309,0.5221278864689718
german,anonymized,all,5,LogisticRegression,957,20,0.6979166666666666,0.48175725986597173
german,anonymized,all,5,RandomForest,957,20,0.6927083333333334,0.47881297446514837
german,anonymized,all,10,LogisticRegression,958,20,0.6979166666666666,0.4110429447852761
german,anonymized,all,10,RandomForest,958,20,0.7083333333333334,0.5495223730517849
german,anonymized,all,20,LogisticRegression,950,20,0.6947368421052632,0.45510284810126583
german,anonymized,all,20,RandomForest,950,20,0.6947368421052632,0.45510284810126583
